college_code,college_name,location,branch_code,branch_name,category,cutoff
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,1G,10087
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,1K,18087
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,2AG,6918
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,2AR,9957
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,2BG,12213
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,3AG,5487
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,3BG,6808
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,GM,5267
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,GMK,7979
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,GMR,8298
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,SCG,26148
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,SCR,33645
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,STG,24190
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,STR,33807
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,1G,123025
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,1R,140951
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2AG,93796
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2AK,141350
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2AR,110030
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2BG,81622
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2BR,105256
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3AG,70889
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3AR,80200
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3BG,82200
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3BK,86716
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3BR,93233
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,GM,62799
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,GMK,76822
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,GMR,80058
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,SCG,98119
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,SCK,103762
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,SCR,132307
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,STG,126470
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,STR,131157
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,1G,5809
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2AG,5052
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2AK,7296
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2AR,6158
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2BG,4589
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2BR,7166
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,3AG,3400
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,3AR,5402
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,3BG,3489
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,3BR,5193
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,GM,2929
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,GMK,4712
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,GMR,5127
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,SCG,20160
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,SCK,28206
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,SCR,22081
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,STG,15475
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,STK,16438
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,STR,20958
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,1G,15177
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,1R,18548
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,2AG,11168
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,2AK,15407
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,2AR,11817
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,2BG,14932
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,3AG,8896
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,3AK,19840
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,3AR,12440
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,3BG,9199
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,3BR,11936
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,GM,7766
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,GMK,10960
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,GMR,11303
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,SCG,33658
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,SCK,46591
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,SCR,53805
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,STG,30200
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,STR,37482
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,1G,27073
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,1R,54121
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,2AG,28615
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,2AK,37226
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,2AR,43302
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,2BG,59169
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,2BK,96469
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,2BR,89610
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,3AG,25476
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,3BG,22779
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,3BR,34904
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,GM,20138
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,GMK,32204
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,GMR,31736
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,SCG,65095
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,SCK,73849
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,SCR,74966
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,STG,72997
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,STR,78257
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,1G,8789
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,2AG,5943
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,2AR,7969
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,2BG,8098
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,3AG,4247
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,3BG,4544
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,GM,4009
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,GMK,7193
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,GMR,5962
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,SCG,24284
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,SCK,31375
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,SCR,40322
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,STG,24799
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,STR,28919
E001,University of Visvesvaraya College of Engineering,Bangalore,ME,Mechanical Engineering,1G,82955
E001,University of Visvesvaraya College of Engineering,Bangalore,ME,Mechanical Engineering,1R,84665
