college_code,college_name,location
E001,University of Visvesvaraya College of Engineering,Bangalore
E002,S K S J T Institute of Engineering.,Bangalore
E003,B M S College of Engineering Basavanagudi,Bangalore
E004,Dr. Ambedkar Institute Of Technology,Bangalore
E005,R. V. College of Engineering,Bangalore
E006,M S Ramaiah Institute of Technology,Bangalore
E007,Dayananda Sagar College of Engineering,Bangalore
E008,Bangalore Institute of Technology,Bangalore
E009,P E S University (Ring Road Campus),Bangalore
E011,M V J College of Engineering,Bangalore
E012,Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore
E013,Ghousia Engineering College,Ramanagara
E014,S J C Institute of Technology,Chickballapur
E015,Dr.T.Thimmaiah Institute of Technology,Bangarpet
E016,Siddaganga Institute of Technology,Tumakuru
E017,Sri Siddartha Institute of Technology,Tumakuru
E018,Kalpatharu Institute of Technology,Tiptur
E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.),Mysuru
E022,The National Institute of Engineering(SOUTH CAMPUS),Mysuru
E023,P E S College of Engineering,Mandya
E024,Malnad College of Engineering,Hassan
E028,Tontadarya College of Engineering,Gadag
E029,Maratha Mandal Engineering College,Belagavi
E030,KLE Technological University(Formerly BVBCET),Hubballi
E031,Basaveshwara Engineering College,Bagalkot
E032,R.T.E Socity`s Rural Engineering College,Hulkoti
E033,Sri Taralabalu Jagadguru Institute of Technology.,Ranebennur
E034,Sri Dharmasthala Manjunatheswara College of Engineering,Dharwad
E035,Anjuman Engineering College,Bhatkala
E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.),Belagavi
E037,K.L.S. Gogte Institute of Technology,Belagavi
E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.,Vijayapur
E040,Hira Sugar Institute of Technology,Belagavi
E041,P D A College of Engineering,Gulbarga
E042,Khaja Banda Nawaz University,Kalburgi
E043,Gurunanak Dev Engineering College,Bidar
E044,Bheemanna Khandre Institute of Technology,Bhalki
E045,Rao Bahadur Y.Mahabaleswarappa Engineering College,Ballari
E046,H K Es S L N College of Engineering,Raichur
E047,Malnad College of Engineering,Hassan
E048,B M S College of Engineering Basavanagudi,Bangalore
E049,Basaveshwara Engineering College,Bagalkot
E054,K V G College of Engineering,Sullia
E055,P A College of Engineering,Bantwal
E056,The National Institute of Engineering(SOUTH CAMPUS),Mysuru
E057,JSS Science and Technology University(Formerly SJCE),Mysuru
E058,P E S College of Engineering,Mandya
E059,P D A College of Engineering,Gulbarga
E060,Dr. Ambedkar Institute Of Technology Jnanabharathi Campus,Bangalore
E061,University B.D.T. college of Engineering,Davangere
E062,Bapuji Institute of Engineering and Technology,Davangere
E063,Sri Jagadguru Murugharajendra University (Formerly SJMIT),Chitradurga
E064,Adhichunchanagiri Institute of Technology,Chickmagalur
E065,Jawaharlal Nehru National College of Engineering,Shivamogga
E070,Bahubali College of Engineering,Hassan
E071,Vidya Vardhaka College of Engineering,Mysuru
E075,Ballari Institute of Technology and Management,Ballari
E076,Proudadevaraya Institute of Technology,Hosapete
E077,Vidya Vikas Institute of Engineering and Technology,Mysuru
E078,The Oxford College of Engineering,Bangalore
E079,Acharya Institute of Technology,Bangalore
E081,H M S Institute of Technology,Tumakuru
E082,J S S Academy of Technical Education,Bangalore
E083,H.K.B.K.College of Engineering,Bangalore
E085,APS College of Engineering,Somanahalli
E086,Sri Sairam College of Engineering(Formerly Shirdi Sai Engg),Anekal
E087,Vivekananada Institute of Technology,Bangalore
E088,Bangalore College of Engineering and Technology,Bangalore
E090,Sri Revana Siddeswara Institute of Technology,Bangalore
E091,K S Institute of Technology,Bangalore
E092,Vemana Institute of Technology,Bangalore
E093,Basavakalyana Engineering College,Basavakalyana
E094,Coorg Institute of Technology,Kodagu
